prior_k,true_k,observations,tasks,seed_means,curve_rmse_mean_of_seed_means,curve_rmse_seed_sd,curve_rmse_seed_ci95_low,curve_rmse_seed_ci95_high,curve_rmse_task_median,curve_rmse_task_q25,curve_rmse_task_q75,k_accuracy_percent_mean_of_seed_means,k_accuracy_seed_ci95_low,k_accuracy_seed_ci95_high,true_k_probability_mean,true_k_probability_seed_ci95_low,true_k_probability_seed_ci95_high
1,1,0,635,5,0.9987967360729074,0.00550035700411099,0.9919671408036349,1.00562633134218,1.0095701748323946,0.7498312274205052,1.2546256591890887,100.0,100.0,100.0,0.7999999999999999,0.7999999999999997,0.8000000000000002
1,1,1,635,5,0.7483376590890962,0.05357221692669908,0.6818189660272517,0.8148563521509408,0.7366611186387755,0.444686817791334,1.006844332119838,99.17477096546864,98.12147809996883,100.0,0.8106929413595795,0.8011651349069124,0.8202207478122465
1,1,2,635,5,0.673859454153017,0.04581236648954731,0.6169758880104295,0.7307430202956045,0.6730297207005963,0.2774615090130117,0.9792474640095645,98.22238372093022,96.88313488396967,99.56163255789077,0.8113638140739378,0.7993532481774841,0.8233743799703914
1,1,3,635,5,0.6514175349084453,0.04147981044416964,0.5999135476276034,0.7029215221892873,0.6483530133478714,0.22703044090522714,0.9726163756635471,96.92474246569664,94.86259964777251,98.98688528362077,0.8062062598084238,0.7904325017673929,0.8219800178494546
1,1,4,635,5,0.6370816518854697,0.04433921818993494,0.582027240950526,0.6921360628204134,0.6549131785275524,0.1420905610365068,0.9679855942104428,95.05213644654478,93.31462093198775,96.78965196110181,0.8002307447541867,0.7816457337597575,0.8188157557486158
1,1,5,635,5,0.6367498570461356,0.04541531106432604,0.5803593003303369,0.6931404137619344,0.6557639044904312,0.13240750143141167,0.9661356687915936,94.87274074534676,92.05369390295859,97.69178758773494,0.7986155088759391,0.7760383434195791,0.8211926743322991
1,1,6,635,5,0.6357451497820948,0.04656176277419278,0.5779310852524755,0.6935592143117142,0.6567760521048729,0.13290475947257224,0.9700352279036283,94.37963380383866,91.19687757515378,97.56239003252354,0.7955654014499844,0.7677690223590442,0.8233617805409247
1,1,7,635,5,0.6339558568742469,0.048543424499119935,0.5736812343241671,0.6942304794243268,0.6494347711149304,0.13487926658286128,0.9744506472788155,94.56024074534676,92.05262252049634,97.06785897019718,0.7974591308176718,0.7729586881116912,0.8219595735236525
1,1,8,635,5,0.6307569776573682,0.05024371157328373,0.5683711698606879,0.6931427854540484,0.6511131092517971,0.13005696531273614,0.9656588084179685,94.6217795257638,92.29983344856933,96.94372560295827,0.796133320243248,0.7751777518235131,0.8170888886629829
1,1,9,635,5,0.630807389503572,0.04981859193088347,0.5689494374617894,0.6926653415453545,0.6501095242826503,0.13003672531098334,0.9647080463833683,94.4655295257638,92.19316185893874,96.73789719258886,0.7962427947774519,0.774678609334451,0.8178069802204527
1,1,10,635,5,0.6307101212721006,0.049880360944839344,0.5687754728694845,0.6926447696747167,0.6494311456002687,0.13002712092332575,0.9653903181031731,94.4655295257638,92.19316185893874,96.73789719258886,0.796496725361163,0.7753869876951284,0.8176064630271976
1,1,11,635,5,0.6303212704432322,0.04963841218943052,0.5686870410996174,0.6919554997868469,0.6493655399005728,0.12856500026550025,0.9652282934978336,94.4655295257638,92.19316185893874,96.73789719258886,0.7964185625575639,0.7750892930834559,0.817747832031672
1,1,12,635,5,0.6300411958314112,0.048199898331520885,0.57019311735608,0.6898892743067423,0.6492994807535175,0.1300176977041676,0.9651989388375819,94.4655295257638,92.19316185893874,96.73789719258886,0.7965417167123114,0.7748866942004473,0.8181967392241756
1,2,0,498,5,1.412616787901116,0.061500963731267386,1.336253255381166,1.488980320421066,1.1706063613591642,0.6902857263282692,2.0485684132651585,0.0,0.0,0.0,0.09999999999999996,0.09999999999999995,0.09999999999999998
1,2,1,498,5,1.246446467175724,0.05138741368511555,1.1826405656421126,1.3102523687093355,1.0268433272380797,0.6427762543968412,1.6980515480175438,0.4263038548752835,0.0,1.1522064331501918,0.11518537708420953,0.10933196786707702,0.12103878630134204
1,2,2,498,5,1.146800368869687,0.07160282086545151,1.0578937240312227,1.2357070137081514,0.953339917052018,0.5522754792000335,1.619760271045,3.4655441464611734,2.011887626963925,4.919200665958422,0.13822077336626598,0.126287124186055,0.15015442254647696
