seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100303,1,monoprotic,[4.086390201832701],2.55,7.59,11.0,0.1
100303,2,monoprotic,[4.588635493122711],2.8,3.93,11.0,0.1
100303,3,triprotic,"[2.7868621393260735, 4.386485791889218, 7.222026315607308]",1.92,5.72,11.0,0.1
100303,4,triprotic,"[2.554169644378296, 4.944812948738448, 6.406747694355915]",1.81,4.73,11.0,0.1
100303,5,diprotic,"[3.0913447904958753, 6.472046157652714]",2.07,6.26,11.0,0.1
100303,6,diprotic,"[2.750127681032591, 5.2962875507192875]",1.9,8.32,11.0,0.1
100303,7,triprotic,"[3.1313127408066963, 4.100857292896778, 7.322259245888636]",2.08,5.47,11.0,0.1
100303,8,triprotic,"[2.195768073452845, 5.836423684459344, 7.222694509957341]",1.65,3.91,11.0,0.1
100303,9,diprotic,"[2.6696885817727827, 6.976893860991595]",1.87,2.07,11.0,0.1
100303,10,triprotic,"[2.3395275276898495, 4.772550156567597, 7.273250530721128]",1.72,5.31,11.0,0.1
100303,11,monoprotic,[3.5678514853909093],2.3,2.22,11.0,0.1
100303,12,diprotic,"[2.86305868831822, 5.589290416000462]",1.96,10.61,11.0,0.1
100303,13,diprotic,"[3.815417527946595, 6.868806283114681]",2.42,9.04,11.0,0.1
100303,14,triprotic,"[3.7336056325922855, 4.708888856775579, 7.096965114175943]",2.37,9.38,11.0,0.1
100303,15,diprotic,"[2.425492303748893, 5.7290015768765645]",1.75,7.4,11.0,0.1
100303,16,triprotic,"[2.9664730229318543, 4.555426444462032, 7.354664529726584]",2.0,6.86,11.0,0.1
100303,17,diprotic,"[2.306576725637693, 6.954409071912587]",1.7,5.3,11.0,0.1
100303,18,diprotic,"[3.6090509976149296, 6.357551580088628]",2.32,5.85,11.0,0.1
100303,19,triprotic,"[3.2648047751985425, 5.438488429287144, 6.591688016343458]",2.15,6.87,11.0,0.1
100303,20,diprotic,"[3.503547710648933, 6.832669643805793]",2.26,9.28,11.0,0.1
100303,21,monoprotic,[5.983322419101112],3.49,2.78,11.0,0.1
100303,22,triprotic,"[2.9798762850911813, 4.466453549881454, 6.34291907694647]",2.01,7.06,11.0,0.1
100303,23,triprotic,"[2.116163362184268, 4.94790478664831, 7.809482770031443]",1.62,5.5,11.0,0.1
100303,24,triprotic,"[2.14036544011581, 5.551737314552323, 7.4954613169516975]",1.63,8.54,11.0,0.1
100303,25,monoprotic,[4.859753187826132],2.93,3.38,11.0,0.1
100303,26,diprotic,"[2.2412744359643395, 6.682747701360663]",1.67,3.86,11.0,0.1
100303,27,triprotic,"[2.277459495954519, 4.767457168457014, 6.4550577964133335]",1.69,5.57,11.0,0.1
100303,28,monoprotic,[5.725734150156948],3.36,3.47,11.0,0.1
100303,29,triprotic,"[3.0093180328517093, 4.549044064003211, 6.592292015106771]",2.02,7.47,11.0,0.1
100303,30,triprotic,"[2.623957272886348, 5.509584689778918, 6.019680356072265]",1.85,2.29,11.0,0.1
100303,31,monoprotic,[2.999088896111454],2.02,2.55,11.0,0.1
100303,32,triprotic,"[2.78475939943171, 5.251231475137221, 7.620357506266377]",1.92,6.27,11.0,0.1
100303,33,triprotic,"[3.9378779144842113, 4.384231836150759, 7.275519456903535]",2.47,3.08,11.0,0.1
100303,34,diprotic,"[2.192734670100885, 6.2796623028147724]",1.65,5.06,11.0,0.1
100303,35,diprotic,"[3.721133116429798, 4.009485662249462]",2.36,6.11,11.0,0.1
100303,36,triprotic,"[2.315724147247952, 5.3375387351498595, 7.498968357887401]",1.71,7.48,11.0,0.1
100303,37,monoprotic,[2.295369503318604],1.7,4.51,11.0,0.1
100303,38,monoprotic,[2.739687809793133],1.9,4.91,11.0,0.1
100303,39,diprotic,"[3.4420383688513256, 4.361664650043432]",2.23,3.85,11.0,0.1
100303,40,monoprotic,[4.56527101514914],2.79,9.28,11.0,0.1
100303,41,monoprotic,[4.635319872846881],2.82,2.94,11.0,0.1
100303,42,monoprotic,[2.830545936832643],1.94,5.23,11.0,0.1
100303,43,monoprotic,[5.1857782538159665],3.09,2.79,11.0,0.1
100303,44,diprotic,"[2.74498405141128, 4.048187353398645]",1.9,6.86,11.0,0.1
100303,45,triprotic,"[2.088261317277941, 4.915420746650721, 6.202566185304864]",1.61,7.52,11.0,0.1
100303,46,monoprotic,[2.92280613670355],1.99,6.08,11.0,0.1
100303,47,diprotic,"[3.299581745510891, 5.105995722692553]",2.16,3.22,11.0,0.1
100303,48,monoprotic,[3.0684975721341026],2.05,10.32,11.0,0.1
100303,49,monoprotic,[3.8891289303669807],2.45,9.68,11.0,0.1
100303,50,monoprotic,[3.6301311304477526],2.33,7.48,11.0,0.1
100303,51,monoprotic,[2.205691303985141],1.66,2.72,11.0,0.1
100303,52,triprotic,"[2.0246778596123027, 4.685180653440755, 6.453635337560998]",1.58,7.29,11.0,0.1
100303,53,monoprotic,[5.85810741920316],3.43,6.65,11.0,0.1
100303,54,triprotic,"[2.553767791056492, 4.509974538162449, 6.946421479878129]",1.81,7.48,11.0,0.1
100303,55,diprotic,"[3.0783814644342335, 6.537203865666885]",2.06,8.16,11.0,0.1
100303,56,monoprotic,[2.712754570559673],1.89,7.71,11.0,0.1
100303,57,triprotic,"[3.991214650630606, 4.628495756799691, 7.9993223093941355]",2.5,4.72,11.0,0.1
100303,58,monoprotic,[4.469154470313386],2.74,4.36,11.0,0.1
100303,59,triprotic,"[3.360622075638989, 4.2083915783217565, 7.35912912515797]",2.19,5.87,11.0,0.1
100303,60,triprotic,"[3.377490446669372, 4.929773278730218, 7.568092558798649]",2.2,8.15,11.0,0.1
100303,61,diprotic,"[3.328259722556538, 5.1174028036726]",2.18,8.53,11.0,0.1
100303,62,monoprotic,[4.423603855122053],2.72,9.66,11.0,0.1
100303,63,triprotic,"[2.5805203453830723, 5.058086155333413, 6.326305777485747]",1.83,9.42,11.0,0.1
100303,64,triprotic,"[2.485762982244691, 4.259116063713716, 6.963517062549992]",1.78,2.13,11.0,0.1
100303,65,triprotic,"[3.9674707797896156, 4.956163258691216, 7.750654513802482]",2.49,9.26,11.0,0.1
100303,66,triprotic,"[2.701808172177362, 5.2977429542423895, 6.794312841348917]",1.88,2.88,11.0,0.1
100303,67,diprotic,"[3.3864217650065047, 6.752213953753679]",2.21,6.78,11.0,0.1
100303,68,triprotic,"[3.7460305832164895, 5.572855097827407, 7.3605478197303125]",2.38,9.48,11.0,0.1
100303,69,diprotic,"[3.145941047660199, 5.999788082529685]",2.09,3.1,11.0,0.1
100303,70,triprotic,"[2.956269913543809, 4.128429607192697, 6.344996127198185]",2.0,8.72,11.0,0.1
100303,71,monoprotic,[4.900798073412043],2.95,3.97,11.0,0.1
100303,72,triprotic,"[2.2496774397296306, 4.279282116265223, 7.6564837042154075]",1.68,7.55,11.0,0.1
100303,73,diprotic,"[3.2942901807012857, 5.820795011978566]",2.16,3.07,11.0,0.1
100303,74,diprotic,"[3.4633529100785436, 4.612513362040099]",2.24,4.6,11.0,0.1
100303,75,diprotic,"[2.322177088344076, 4.758228116325025]",1.71,6.29,11.0,0.1
100303,76,monoprotic,[2.5981129059457126],1.83,9.45,11.0,0.1
100303,77,monoprotic,[2.8048706084584],1.93,4.6,11.0,0.1
100303,78,triprotic,"[3.1142151107489715, 5.116009107867064, 6.505375607234884]",2.08,10.91,11.0,0.1
100303,79,diprotic,"[2.71158510014579, 4.458053614591998]",1.88,4.05,11.0,0.1
100303,80,monoprotic,[4.5435903404500735],2.78,9.81,11.0,0.1
100303,81,monoprotic,[4.886069544865281],2.95,2.21,11.0,0.1
100303,82,monoprotic,[5.406094713686784],3.2,9.01,11.0,0.1
100303,83,triprotic,"[2.3283253722694672, 5.324852757222182, 7.688314311643877]",1.71,7.01,11.0,0.1
100303,84,triprotic,"[2.5278485662910786, 5.445829716128505, 7.530024374455418]",1.8,8.04,11.0,0.1
100303,85,monoprotic,[2.420477353772849],1.75,3.72,11.0,0.1
100303,86,triprotic,"[3.5061082226933142, 4.302140281502472, 7.891172143563731]",2.26,8.22,11.0,0.1
100303,87,diprotic,"[3.9965420703122363, 5.64674811282387]",2.5,10.72,11.0,0.1
100303,88,triprotic,"[3.6879097310072626, 5.007590951403313, 6.133149611186763]",2.35,8.42,11.0,0.1
100303,89,triprotic,"[2.4836145780376313, 5.760847033189212, 6.775321227422702]",1.78,3.36,11.0,0.1
100303,90,triprotic,"[2.8491557787529973, 5.05151096309326, 6.507322951199498]",1.95,6.06,11.0,0.1
100303,91,triprotic,"[2.661958064717286, 5.7837570364082405, 6.420361556361318]",1.86,7.45,11.0,0.1
100303,92,diprotic,"[2.9176418280888674, 4.468148465854362]",1.98,10.57,11.0,0.1
100303,93,monoprotic,[3.3449893774775172],2.19,4.58,11.0,0.1
