seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100555,1,triprotic,"[2.765383723437898, 5.920710520109686, 6.195851639445781]",1.91,7.47,11.0,0.1
100555,2,triprotic,"[3.3091177226816013, 5.443163462193869, 7.075273806677403]",2.17,10.05,11.0,0.1
100555,3,monoprotic,[4.6781317829623905],2.84,8.52,11.0,0.1
100555,4,triprotic,"[2.77414446585765, 4.977028167119962, 7.842747775604838]",1.91,2.26,11.0,0.1
100555,5,monoprotic,[2.2607641253229263],1.68,8.07,11.0,0.1
100555,6,monoprotic,[4.701066246317328],2.85,10.54,11.0,0.1
100555,7,monoprotic,[3.0842960952986878],2.06,7.07,11.0,0.1
100555,8,triprotic,"[3.7903569206850727, 4.208516852414505, 6.991966227528467]",2.4,6.0,11.0,0.1
100555,9,monoprotic,[5.801871133438509],3.4,10.96,11.0,0.1
100555,10,triprotic,"[3.2354892842092977, 5.473825864068451, 7.271257015558641]",2.13,8.28,11.0,0.1
100555,11,monoprotic,[3.120243603305695],2.08,7.27,11.0,0.1
100555,12,triprotic,"[3.849076099875803, 4.866806049737244, 7.423303497555571]",2.43,8.98,11.0,0.1
100555,13,diprotic,"[3.2453013725632696, 6.912155707245373]",2.14,8.97,11.0,0.1
100555,14,diprotic,"[3.5285113729019253, 4.216402647014727]",2.27,4.45,11.0,0.1
100555,15,monoprotic,[3.130638422097924],2.08,2.09,11.0,0.1
100555,16,monoprotic,[2.5535608763946924],1.81,8.39,11.0,0.1
100555,17,monoprotic,[2.5479178759422885],1.81,7.3,11.0,0.1
100555,18,triprotic,"[2.565710391418361, 5.136258206883561, 6.379170235923563]",1.82,2.97,11.0,0.1
100555,19,diprotic,"[2.5169906094791914, 5.979359859271956]",1.8,7.87,11.0,0.1
100555,20,monoprotic,[5.64721573287386],3.32,7.78,11.0,0.1
100555,21,triprotic,"[2.1195298784744434, 4.4342219364869795, 7.4923715632000185]",1.62,5.24,11.0,0.1
100555,22,monoprotic,[5.834161058076196],3.42,6.89,11.0,0.1
100555,23,monoprotic,[5.551577979284472],3.28,2.21,11.0,0.1
100555,24,diprotic,"[3.8328838536880494, 4.40949317783712]",2.42,4.51,11.0,0.1
100555,25,triprotic,"[3.1993747552183693, 5.244912691602044, 7.154329386220823]",2.12,3.92,11.0,0.1
100555,26,monoprotic,[2.2834685108899015],1.69,7.91,11.0,0.1
100555,27,monoprotic,[4.67027630573253],2.84,3.98,11.0,0.1
100555,28,triprotic,"[3.5635320539589466, 4.807977438682178, 6.932193577839474]",2.29,4.05,11.0,0.1
100555,29,triprotic,"[2.1543329742321142, 5.430172163150578, 6.266731921229448]",1.63,10.95,11.0,0.1
100555,30,monoprotic,[5.250721517914297],3.13,9.12,11.0,0.1
100555,31,diprotic,"[3.818271859570258, 4.205409513847769]",2.41,2.02,11.0,0.1
100555,32,monoprotic,[5.702012284154627],3.35,4.37,11.0,0.1
100555,33,diprotic,"[3.7792149284068612, 6.654025428606261]",2.4,2.33,11.0,0.1
100555,34,monoprotic,[4.604461500110401],2.81,2.57,11.0,0.1
100555,35,monoprotic,[3.0743133957662327],2.06,5.41,11.0,0.1
100555,36,monoprotic,[5.420195259143771],3.21,7.17,11.0,0.1
100555,37,monoprotic,[2.9252199831356576],1.99,10.52,11.0,0.1
100555,38,triprotic,"[3.087784989368974, 4.309445421002667, 7.45373807130081]",2.06,3.59,11.0,0.1
100555,39,diprotic,"[3.4269968030095552, 4.8532025854499565]",2.23,2.64,11.0,0.1
100555,40,monoprotic,[5.471118940532612],3.24,9.09,11.0,0.1
100555,41,diprotic,"[3.6419896004796692, 5.001364066469056]",2.33,7.2,11.0,0.1
100555,42,diprotic,"[3.946329984214111, 4.458517435304719]",2.48,7.82,11.0,0.1
100555,43,diprotic,"[2.066572011284829, 4.99251561860039]",1.6,4.05,11.0,0.1
100555,44,monoprotic,[3.001153014153731],2.02,9.13,11.0,0.1
100555,45,diprotic,"[2.386056113437159, 6.060630506571256]",1.74,3.0,11.0,0.1
100555,46,monoprotic,[3.3729267188667995],2.2,4.59,11.0,0.1
100555,47,monoprotic,[4.059412746051038],2.54,10.54,11.0,0.1
100555,48,triprotic,"[3.165310601168276, 4.229425760389899, 6.755304442559355]",2.1,4.44,11.0,0.1
100555,49,diprotic,"[2.2782671700561723, 5.983521437964028]",1.69,10.03,11.0,0.1
100555,50,diprotic,"[3.3580968728466707, 4.511583362642165]",2.19,7.35,11.0,0.1
100555,51,diprotic,"[3.694817942898656, 5.433670167070714]",2.36,8.73,11.0,0.1
100555,52,triprotic,"[3.690192613892683, 5.169502194761592, 7.332752269154034]",2.35,7.33,11.0,0.1
100555,53,diprotic,"[3.717291080105689, 4.4539256298544485]",2.36,8.37,11.0,0.1
100555,54,triprotic,"[3.7340059422588845, 4.671862032780513, 6.455151930355906]",2.37,3.79,11.0,0.1
100555,55,monoprotic,[5.07325744003815],3.04,4.15,11.0,0.1
100555,56,monoprotic,[3.7305287437981325],2.37,2.05,11.0,0.1
100555,57,diprotic,"[2.6975694310811695, 6.665154744784916]",1.88,7.85,11.0,0.1
100555,58,triprotic,"[3.1128859873128136, 4.322635592387574, 7.252270103221042]",2.07,4.32,11.0,0.1
100555,59,triprotic,"[2.735215675768286, 4.008602720753953, 7.741482888011685]",1.89,4.0,11.0,0.1
100555,60,triprotic,"[2.424174623580556, 5.7410955043336465, 6.0831236899997805]",1.75,9.53,11.0,0.1
100555,61,triprotic,"[3.789596181750391, 4.38123344257715, 7.64027564659255]",2.4,9.93,11.0,0.1
100555,62,monoprotic,[2.0618909137093167],1.59,4.09,11.0,0.1
100555,63,diprotic,"[2.808589907866094, 5.312522827168516]",1.93,9.65,11.0,0.1
100555,64,monoprotic,[4.765333367648735],2.89,2.42,11.0,0.1
100555,65,triprotic,"[3.901782080385689, 5.3625859160631855, 7.667341536780002]",2.46,6.31,11.0,0.1
