seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100404,1,triprotic,"[3.9864363692479774, 5.04128537763226, 6.959856508130567]",2.5,6.34,11.0,0.1
100404,2,triprotic,"[2.8528488190856063, 5.284060636478373, 6.202960746794963]",1.95,6.11,11.0,0.1
100404,3,diprotic,"[3.8421485901805745, 4.939685053649208]",2.43,4.52,11.0,0.1
100404,4,diprotic,"[2.7707898946380114, 5.384135930721296]",1.91,3.93,11.0,0.1
100404,5,diprotic,"[2.486011932209604, 5.988844330280046]",1.78,3.91,11.0,0.1
100404,6,triprotic,"[3.0714884729491634, 5.637072539213437, 6.4730923945017445]",2.06,2.34,11.0,0.1
100404,7,triprotic,"[3.7758099398273606, 5.176338587010432, 6.424265706663429]",2.4,6.84,11.0,0.1
100404,8,diprotic,"[3.1749257766974592, 6.178137209427454]",2.11,7.81,11.0,0.1
100404,9,diprotic,"[3.0628350706972873, 6.02718936323763]",2.05,7.33,11.0,0.1
100404,10,triprotic,"[2.256739523878471, 4.732935736911322, 7.5001489607571905]",1.68,3.14,11.0,0.1
100404,11,diprotic,"[3.8241842793831724, 5.088646673485901]",2.42,7.15,11.0,0.1
100404,12,monoprotic,[4.332002171929901],2.67,8.37,11.0,0.1
100404,13,monoprotic,[5.45072010389384],3.23,5.07,11.0,0.1
100404,14,diprotic,"[3.763679663628812, 6.44425918471233]",2.39,5.69,11.0,0.1
100404,15,monoprotic,[5.384227744221465],3.19,8.91,11.0,0.1
100404,16,monoprotic,[2.0046860018271526],1.57,3.8,11.0,0.1
100404,17,diprotic,"[2.6334100577560173, 5.8411889357006626]",1.85,7.32,11.0,0.1
100404,18,triprotic,"[3.552998647256504, 5.631256319442276, 7.4340757539423725]",2.29,9.24,11.0,0.1
100404,19,diprotic,"[3.722210127400399, 6.861458079563595]",2.37,10.57,11.0,0.1
100404,20,diprotic,"[3.6346145805165753, 4.014293297250498]",2.32,4.93,11.0,0.1
100404,21,triprotic,"[2.9651547664085536, 5.226748974150585, 6.430495720291103]",2.0,3.63,11.0,0.1
100404,22,diprotic,"[2.2400131582242984, 4.004291849873448]",1.67,9.35,11.0,0.1
100404,23,monoprotic,[2.6494427715285322],1.86,3.36,11.0,0.1
100404,24,monoprotic,[5.512419293272458],3.26,10.33,11.0,0.1
100404,25,diprotic,"[2.4831236404115087, 4.150830401132002]",1.78,4.33,11.0,0.1
100404,26,triprotic,"[2.3680797400326963, 5.686904835645045, 7.559595016252674]",1.73,5.77,11.0,0.1
100404,27,triprotic,"[3.7750167189063824, 5.700485432343363, 7.413560229924489]",2.4,5.94,11.0,0.1
100404,28,triprotic,"[2.308757419676684, 4.527529172715293, 7.236042563147562]",1.7,6.83,11.0,0.1
100404,29,monoprotic,[5.946106334141641],3.47,2.76,11.0,0.1
100404,30,diprotic,"[2.106753293801625, 5.07290439157298]",1.61,9.3,11.0,0.1
100404,31,diprotic,"[2.2687825812234736, 6.925298606254595]",1.68,7.27,11.0,0.1
100404,32,monoprotic,[4.217156308471889],2.61,8.2,11.0,0.1
100404,33,monoprotic,[4.024460929819789],2.52,9.39,11.0,0.1
100404,34,monoprotic,[3.5603013423423926],2.29,10.26,11.0,0.1
100404,35,diprotic,"[2.071435199365977, 4.707643543481322]",1.6,7.68,11.0,0.1
100404,36,diprotic,"[3.385396634883403, 6.515407302176023]",2.21,9.21,11.0,0.1
