seed,task_id,acid_type,pka_values,initial_ph,target_ph,initial_volume_ml,analyte_conc_m
100101,1,monoprotic,[5.382741704423189],3.19,5.75,11.0,0.1
100101,2,triprotic,"[2.7961042216632674, 4.193608823937821, 7.427401561094634]",1.92,5.77,11.0,0.1
100101,3,diprotic,"[3.7832189290166163, 6.0571006291273]",2.4,10.57,11.0,0.1
100101,4,triprotic,"[3.9249763836307725, 5.9222991993207525, 6.080535408727755]",2.47,10.22,11.0,0.1
100101,5,monoprotic,[4.928093339687066],2.97,5.47,11.0,0.1
100101,6,triprotic,"[3.427576200560675, 4.216337142345367, 6.9529343400351875]",2.22,3.57,11.0,0.1
100101,7,triprotic,"[3.0324752322397206, 4.018737955212431, 7.815587669680515]",2.03,9.9,11.0,0.1
100101,8,diprotic,"[3.220971082840026, 5.988126163674851]",2.13,4.79,11.0,0.1
100101,9,monoprotic,[4.456747069255638],2.73,4.75,11.0,0.1
100101,10,triprotic,"[3.2498328976223525, 4.911004733065783, 6.0534788082806035]",2.14,9.17,11.0,0.1
100101,11,monoprotic,[5.752949616459148],3.38,7.53,11.0,0.1
100101,12,monoprotic,[4.512543283177226],2.76,7.37,11.0,0.1
100101,13,triprotic,"[2.982565791600879, 4.580319982018094, 6.431401476127709]",2.01,6.22,11.0,0.1
100101,14,monoprotic,[4.578638859775623],2.79,3.94,11.0,0.1
100101,15,triprotic,"[2.877676298943855, 5.7712266775335355, 7.5461076419339586]",1.96,7.09,11.0,0.1
100101,16,diprotic,"[3.061574375939438, 5.4715138362682]",2.05,2.64,11.0,0.1
100101,17,triprotic,"[3.2147696624901227, 5.826390084605226, 7.035755876393746]",2.12,3.7,11.0,0.1
100101,18,diprotic,"[3.390758981673658, 5.435470768486976]",2.21,9.51,11.0,0.1
100101,19,monoprotic,[5.263894855655054],3.13,6.19,11.0,0.1
100101,20,triprotic,"[3.4731355641859434, 4.817942998217948, 6.342218088857711]",2.25,5.75,11.0,0.1
100101,21,diprotic,"[3.396761148169758, 5.809475265059882]",2.21,9.16,11.0,0.1
100101,22,diprotic,"[2.976955695764537, 4.7799130989367]",2.01,2.74,11.0,0.1
100101,23,triprotic,"[2.995886226368555, 5.6149414455939315, 7.58647462073799]",2.02,3.83,11.0,0.1
100101,24,diprotic,"[3.195315346551196, 6.575596526821227]",2.11,5.88,11.0,0.1
100101,25,monoprotic,[3.199759421131373],2.12,3.58,11.0,0.1
100101,26,monoprotic,[3.812123320995481],2.41,9.9,11.0,0.1
100101,27,monoprotic,[5.624227890258288],3.31,9.61,11.0,0.1
100101,28,triprotic,"[2.22601142739444, 4.2790261313489015, 6.9969814944512]",1.66,4.27,11.0,0.1
100101,29,triprotic,"[2.031525253488322, 4.0484110406719065, 6.385891310615113]",1.58,6.22,11.0,0.1
100101,30,diprotic,"[2.968654478785876, 6.7970211412516]",2.01,10.79,11.0,0.1
100101,31,monoprotic,[3.2448711435251036],2.14,3.3,11.0,0.1
100101,32,diprotic,"[3.41248875634811, 6.613106829055747]",2.22,4.48,11.0,0.1
100101,33,monoprotic,[5.580426182903594],3.29,9.72,11.0,0.1
100101,34,triprotic,"[2.659250291612124, 5.681701027508993, 7.212312613603161]",1.86,7.92,11.0,0.1
100101,35,triprotic,"[3.5242614684615203, 5.784924716772605, 7.521072977476166]",2.27,8.8,11.0,0.1
100101,36,diprotic,"[3.6440629576556183, 6.591860497709226]",2.33,7.07,11.0,0.1
100101,37,triprotic,"[3.9217365052949704, 4.762933624435775, 7.9281095029686295]",2.47,4.16,11.0,0.1
100101,38,diprotic,"[2.841822678362125, 5.6734667842912625]",1.95,5.51,11.0,0.1
100101,39,diprotic,"[2.4727144029541543, 5.923769257059197]",1.78,6.77,11.0,0.1
100101,40,triprotic,"[2.385224822687403, 5.244309435627482, 7.254132876442796]",1.74,8.79,11.0,0.1
100101,41,triprotic,"[2.974103917935868, 4.297126074919748, 6.529854535563417]",2.01,5.48,11.0,0.1
100101,42,diprotic,"[3.2364174158760433, 4.135574171840848]",2.13,4.7,11.0,0.1
100101,43,triprotic,"[2.8384464276915464, 5.8912086938784, 7.012307172000705]",1.95,4.61,11.0,0.1
100101,44,diprotic,"[2.6113042551559102, 5.8908616750633565]",1.84,8.56,11.0,0.1
100101,45,diprotic,"[2.953462470440846, 4.09029139399438]",2.0,8.17,11.0,0.1
100101,46,triprotic,"[2.3521831843736756, 4.916607877835244, 6.031455599037872]",1.72,7.83,11.0,0.1
100101,47,triprotic,"[2.8795614720527025, 4.981567038786058, 6.380546738002274]",1.96,5.03,11.0,0.1
100101,48,triprotic,"[2.9692169110419293, 4.929149463893453, 6.155921315975439]",2.01,2.64,11.0,0.1
100101,49,triprotic,"[2.7114179592870142, 5.895712708900846, 7.086681747286753]",1.89,6.46,11.0,0.1
100101,50,diprotic,"[3.996735036954647, 6.962282389312474]",2.51,9.29,11.0,0.1
100101,51,monoprotic,[4.1099665597298785],2.56,8.84,11.0,0.1
100101,52,triprotic,"[2.527703216378641, 4.64212292103208, 7.805366677648824]",1.8,5.2,11.0,0.1
100101,53,triprotic,"[2.1805130424023917, 5.7173216897648045, 6.1821945618932475]",1.65,8.53,11.0,0.1
100101,54,triprotic,"[3.8943180228593235, 4.071913048874596, 6.481279085242855]",2.44,2.94,11.0,0.1
100101,55,diprotic,"[3.5865680111860883, 5.294089571453805]",2.3,2.76,11.0,0.1
100101,56,monoprotic,[5.990910415230805],3.5,5.93,11.0,0.1
100101,57,triprotic,"[2.514983080896861, 5.943000257695257, 6.202629966935621]",1.8,6.8,11.0,0.1
100101,58,triprotic,"[2.2981994674056976, 5.220043230997667, 6.70850773053741]",1.7,10.5,11.0,0.1
100101,59,monoprotic,[5.272726215650454],3.14,6.54,11.0,0.1
100101,60,monoprotic,[5.782542743160105],3.39,2.28,11.0,0.1
