task_seed,task_id,checkpoint_type,observations,direction,difficulty,pka_family,true_pair_count,current_true_ph,target_ph,estimated_concentration_m,estimated_pair_count,true_pka_json,estimated_pka_json,local_rmse_0p1_ml,local_mae_0p1_ml,local_max_abs_0p1_ml,local_rmse_0p5_ml,local_mae_0p5_ml,local_max_abs_0p5_ml,local_rmse_1p0_ml,local_mae_1p0_ml,local_max_abs_1p0_ml,state_total_volume_ml,state_base_moles,state_acid_moles,controller_steps,benchmark_seed
4000101,1,fixed_observation_count,0,acid,medium,single,1,3.11,2.331,0.0995617457129376,1,[2.862926097124621],[5.192571100942769],0.004105574850452152,0.0035496602998203704,0.007466520626693729,0.021006681460703683,0.01789403561979931,0.043264278748450735,0.04527952327574983,0.03699532377489604,0.10689755797665335,9.353826365191896,0.00044335336400081246,0.0,0,101
4000101,1,fixed_observation_count,1,acid,medium,single,1,2.37,2.331,0.12283112298024734,2,[2.862926097124621],"[4.390593468169101, 6.483347011943019]",0.008920338373111722,0.007664788504459229,0.017280957459695045,0.05014768155265316,0.04044719792221335,0.12008017415886663,0.1309543227909075,0.09340131469949531,0.3640211344516464,12.633826365191895,0.00044335336400081246,0.000328,1,101
4000101,1,fixed_observation_count,2,acid,medium,single,1,2.27,2.331,0.12277029542602258,2,[2.862926097124621],"[4.282411086381839, 6.416779028991653]",0.01630685452455526,0.014060966109600169,0.030749627922172174,0.08798337271514374,0.07254724665158511,0.20053457738618352,0.19470319020830013,0.15094344056706854,0.4658460342614408,13.063826365191895,0.00044335336400081246,0.000371,2,101
4000101,1,fixed_observation_count,3,acid,medium,single,1,2.31,2.331,0.12270506302681022,2,[2.862926097124621],"[4.259127704700399, 6.40291323359048]",0.01271643647673423,0.010955763726545055,0.024150888249683256,0.06940125099766128,0.05691492354983806,0.16051538863990267,0.16267022953626212,0.12285564263068555,0.41124816662891295,13.223826365191895,0.0004593533640008125,0.000371,3,101
4000101,1,fixed_observation_count,5,acid,medium,single,1,2.33,2.331,0.12268943692826367,2,[2.862926097124621],"[4.254655732228862, 6.400191579454429]",0.010957642633352735,0.009434743132779833,0.020911396043692854,0.06013397618699973,0.049156844475839546,0.1401117286607816,0.1449193572751461,0.1079310256700479,0.37674535932912434,13.323826365191895,0.00046935336400081245,0.000371,5,101
4000101,1,fixed_observation_count,8,acid,medium,single,1,2.34,2.331,0.12269812022190357,2,[2.862926097124621],"[4.255754790745529, 6.400851703078131]",0.010807677339795173,0.009305099637399018,0.02063405420800457,0.059339734641972,0.0484936005209932,0.1383501158778211,0.1433628963432078,0.10663616654789018,0.37364427721951543,13.353826365191894,0.0004713533640008125,0.00037200000000000004,8,101
4000101,1,fixed_observation_count,12,acid,medium,single,1,2.34,2.331,0.12271009475738542,2,[2.862926097124621],"[4.257249400757541, 6.401747728010589]",0.010822179671381896,0.009317774098077459,0.020658350886823662,0.059410526807112694,0.048556765585063104,0.1384871403818213,0.14350925854451654,0.10676546805249304,0.3739792730348448,13.393826365191893,0.00047335336400081254,0.0003740000000000001,12,101
4000101,1,natural_control_end,1,acid,medium,single,1,2.37,2.331,0.12283112298024734,2,[2.862926097124621],"[4.390593468169101, 6.483347011943019]",0.008920338373111722,0.007664788504459229,0.017280957459695045,0.05014768155265316,0.04044719792221335,0.12008017415886663,0.1309543227909075,0.09340131469949531,0.3640211344516464,12.633826365191895,0.00044335336400081246,0.000328,1,101
4000101,2,fixed_observation_count,0,acid,near,separated,3,2.57,1.911,0.10465437295122343,1,"[3.0894366115419514, 5.177630330287858, 6.858760988640431]",[5.244429917425961],0.00947595955099973,0.008038519491547602,0.019705512353837662,0.07073367896816592,0.049459517935040276,0.20395161962483677,0.3565496458409696,0.19023326936811139,1.155908064853163,8.565970618423734,8.35363284098893e-05,0.0,0,101
4000101,2,fixed_observation_count,1,acid,near,separated,3,1.82,1.911,0.10147599265214811,3,"[3.0894366115419514, 5.177630330287858, 6.858760988640431]","[3.0346232788207836, 4.9079658605474705, 6.751297338368547]",0.0024529213666744476,0.0021124897628639117,0.0046528758177939444,0.01295412937320273,0.010829259614162312,0.028407560578540103,0.029188952959522185,0.023001838036151356,0.07217520401690258,10.815970618423734,8.35363284098893e-05,0.000225,1,101
4000101,2,fixed_observation_count,2,acid,near,separated,3,1.9,1.911,0.10127687978699586,3,"[3.0894366115419514, 5.177630330287858, 6.858760988640431]","[3.0371579085947995, 4.909477537959242, 6.752706967666678]",0.0033112024631797507,0.002856378828930823,0.006194739408027949,0.01726673067694938,0.014522299383117113,0.037216274020768214,0.037747717792191715,0.030217919429903334,0.0904779466661898,11.125970618423734,0.0001145363284098893,0.000225,2,101
4000101,2,fixed_observation_count,3,acid,near,separated,3,1.94,1.911,0.1012168011630623,3,"[3.0894366115419514, 5.177630330287858, 6.858760988640431]","[3.038567591238384, 4.910061651655666, 6.75333014418701]",0.003699812175223728,0.0031935439209062645,0.006880945947039141,0.01916666931892402,0.016168671267066382,0.04091676072901507,0.041261615466044656,0.033299494890715826,0.09728086439460171,11.245970618423733,0.0001265363284098893,0.000225,3,101
