algorithm,initialization,seed,task_seed,task_id,acid_type,pka_values,initial_ph,target_ph,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,final_measured_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph
a2c,imitation,101,200101,1,triprotic,"[2.664294825590957, 4.5640348064121445, 7.030719132633347]",1.86,7.83,1,0,0,1,0,9,0,0.054667316710110825,0.054667316710110825,31.32,0.0,31.32,7.775332683289889,7.775332683289889
a2c,imitation,101,200101,2,triprotic,"[3.952126665278123, 4.8450968165931005, 7.79703747230857]",2.48,2.76,1,1,0,1,0,2,1,0.0025831592013130233,0.0025831592013130233,1.07,0.3,0.77,2.762583159201313,2.762583159201313
a2c,imitation,101,200101,3,triprotic,"[2.021968104508721, 4.4501176047476925, 6.9751266258394455]",1.58,9.72,1,1,0,1,0,19,5,0.025696213096379594,0.025696213096379594,40.41,3.6999999999999993,36.71,9.74569621309638,9.74569621309638
a2c,imitation,101,200101,4,triprotic,"[3.5037697251652107, 4.323228493807566, 7.055351928865466]",2.26,10.07,1,1,0,1,0,14,5,0.0395588728785512,0.0395588728785512,43.16,5.05,38.11,10.109558872878551,10.109558872878551
a2c,imitation,101,200101,5,triprotic,"[2.1329643906716775, 4.811145269359487, 6.116266845325613]",1.62,7.76,1,1,0,1,0,10,3,0.008367138458416079,0.008367138458416079,33.52,0.38,33.14,7.768367138458416,7.768367138458416
a2c,imitation,101,200101,6,triprotic,"[2.14779984139429, 5.485698115163724, 7.105457641222138]",1.63,9.7,1,0,0,1,0,17,5,0.09978008195757937,0.09978008195757937,40.05,3.5199999999999996,36.53,9.799780081957579,9.799780081957579
a2c,imitation,101,200101,7,triprotic,"[3.2747843141653457, 4.509575846817149, 6.561194824179966]",2.15,8.95,1,0,0,1,0,13,6,0.07915222067385841,0.07915222067385841,38.29,2.67,35.62,8.87084777932614,8.87084777932614
a2c,imitation,101,200101,8,diprotic,"[2.0974069331405136, 5.170605643533603]",1.61,7.17,1,0,0,1,0,6,3,0.08397806568071253,0.08397806568071253,24.869999999999997,1.48,23.389999999999997,7.2539780656807125,7.2539780656807125
a2c,imitation,101,200101,9,monoprotic,[2.771062100409859],1.91,8.97,0,0,1,0,0,50,42,1.3499741268157965,1.3499741268157965,28.640000000000022,8.819999999999997,19.820000000000025,7.620025873184204,7.620025873184204
a2c,imitation,101,200101,10,diprotic,"[3.7305758397908093, 4.921833026867874]",2.37,5.74,1,1,0,1,0,8,0,0.029611742162378718,0.029611742162378718,20.430000000000003,0.0,20.430000000000003,5.7103882578376215,5.7103882578376215
a2c,imitation,101,200101,11,triprotic,"[3.5914174668245193, 4.431349538912324, 6.521856529903637]",2.3,9.65,1,0,0,1,0,15,5,0.06787572279572451,0.06787572279572451,40.7,3.8400000000000003,36.86,9.717875722795725,9.717875722795725
a2c,imitation,101,200101,12,diprotic,"[3.04610881884518, 6.2485070497564426]",2.04,4.63,1,0,0,1,0,3,0,0.07631540810223658,0.07631540810223658,10.88,0.0,10.88,4.553684591897763,4.553684591897763
