sha256,bytes,path
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,dependency/reference/__init__.py
2128ba35ea12c1f9b11173af910cd11f976cfee28db7860e979a295884777c6a,24334,dependency/reference/original_bayesian_controller.py
8169358f14d5dcd921347ae19388547e7d98c5d11ad2c4ff365f131711c19cb9,5555,original_package/ANALYSIS_AND_DISCUSSION_CN.md
0ea289558756fc7bf595b581efc6b0eaa477e028338e744a65f089140be642e4,133068,original_package/FINAL_DELIVERY/figures/local_response_rmse_overview.png
1c6353a7d1e30bf82c7373bd7a7ea28b82491169b9e64f1dabe75bb5d013000e,4737,original_package/FINAL_DELIVERY/tables/new_pf_local_response__aggregate_summary.csv
1c6353a7d1e30bf82c7373bd7a7ea28b82491169b9e64f1dabe75bb5d013000e,4737,original_package/formal_results/new_pf_local_response/aggregate_summary.csv
d47ea9b11cc29b468e0f5c42ebd20734bcb7721585271846e389120eea8d4d25,4281971,original_package/formal_results/new_pf_local_response/all_local_response_rows.csv
8a3b43932eb27c20eb08db8055afcc726d929547771e34063387b2e04c7d0515,240,original_package/formal_results/new_pf_local_response/LOCAL_RESPONSE_COMPLETE.json
64202b184ad9ed3a62dac79371f292b4111a30dc358fc0f82759185edea459fb,10021,original_package/formal_results/new_pf_local_response/per_seed_summary.csv
87b4f91cfdf05ea375ecfa3cb0260aa4e093f926108a2f19a7d1c430487d2dd6,143640,original_package/formal_results/new_pf_local_response/seed_101_tasks.jsonl
65508841748ce69a495f133a02c284ef0b2928a59178bb349d34c08aaa0f24c1,143592,original_package/formal_results/new_pf_local_response/seed_202_tasks.jsonl
8fb43adb30619f8e23148959de77c7eacbed0fa39940ff816c2aebde275fac81,143664,original_package/formal_results/new_pf_local_response/seed_303_tasks.jsonl
51e62ede9271f42a67b56fa994faf3a63cd63dddb42e64a09789178eca2b0347,143797,original_package/formal_results/new_pf_local_response/seed_404_tasks.jsonl
f8ca09d74a0637ef41cf695b42d2a8401b50f7655b0dc623e5d2f9aa97032523,143504,original_package/formal_results/new_pf_local_response/seed_555_tasks.jsonl
a8454436162bd507384575996473473574733b7ca1ca12142789224585ce8b7a,10139,original_package/pf_local_response_diagnostics.py
d3e6c9a3b0683567ab68d1badee616689ca6e58f9aaded492b1b1a09955012a9,3146,original_package/README_LOCAL_RESPONSE_PACKAGE.md
25fa89aea9fd96bce50af08f5ac791234852a8caacd5fe7faa564f42928ee214,266,original_package/RUN_LOCAL_RESPONSE.cmd
b1714a78a29006b29883d5aa73bde905fdf627ac4468ac7b71bd6168485516aa,6472,original_package/study_source/chemistry_model.py
1054faf37e91e541ace7f1651cc67a03025b839b0411a61ca9a9426abdf580f4,7103,original_package/study_source/particle_controllers.py
0ff9c745aca3779d92fe77de8d4f488adca0c51b1404c8aba13008dfdacc23a3,10248,original_package/study_source/particle_inference.py
2c7a5122821e6dd40942e6ee522fca7cf87f69beaa160b413972ed7e78a8d9db,7830,original_package/study_source/task_distribution.py
1c71d52339818160abf0fa375a86d3ff9fe1c473016e5144eb92f120258a2ffc,6226,PROVENANCE.json
9968cfab0a9ee6af047f8848cb32ac8117fa48a3cd7432fbff7a4bc3d2177ca9,6642,README.md
1c6353a7d1e30bf82c7373bd7a7ea28b82491169b9e64f1dabe75bb5d013000e,4737,verified_replay/aggregate_summary.csv
bf7612673a8ccdb70ceee9d451e8453c48d40de334abeac8e0a54ab4b41c4704,4941195,verified_replay/all_local_response_rows.csv
64202b184ad9ed3a62dac79371f292b4111a30dc358fc0f82759185edea459fb,10021,verified_replay/per_seed_summary.csv
dd801fdb467a726670503da21b96f0ed5ce4b01d4136e98610fd3d559e9c5c3a,238,verified_replay/REPLAY_AUDIT.json
71e07b764d112b224a4093050e8e6bdfe39177c96a8742ecc8980111f2dfdf5e,460,verified_replay/REPLAY_CONFIG.json
